角色名,rvs_1,rvs_2,rvs_3,rvs_4,rvs_5,rvs_6,rvs_7,rvs_8,rvs_9,rvs_10,rvs_11,rvs_12,rvs_13,rvs_14,rvs_15,rvs_16,rvs_17,rvs_18,rvs_19,rvs_20,rvs_21
古明地恋,,,,,,1.201930255,2.071957532,2.928921545,3.201738274,5.313935605,7.22157045,5.763157977,5.865079935,5.912905223,5.854673272,7.043478261,7.625584731,7.514327002,8.344208141,8.944107575,11.52109234
雾雨魔理沙,4.365808824,5.884645773,7.051196295,5.263904718,5.0694243,4.471912015,4.270138489,4.095757288,4.392268432,5.692563377,6.640830849,5.792731591,5.941747646,6.033810166,6.244005371,6.853586405,8.434326424,9.473194908,10.38573808,11.12943122,11.46491828
博丽灵梦,2.849264706,3.240979721,4.294314381,5.037326191,5.148081,4.770316553,4.879166518,4.96041716,5.243037915,6.410378529,6.737314485,8.147002484,7.054751321,7.004317406,7.227305041,7.081615537,8.140238536,8.959477799,9.728226269,12.06929627,11.40458317
芙兰朵露·斯卡蕾特,1.470588235,1.028706874,1.500385902,1.881410987,3.273429655,3.037242844,3.385943393,3.61700877,4.28065623,4.809975029,5.487621673,5.198618815,5.42093595,5.307563586,5.480032949,6.751092474,7.377180399,9.556052506,9.637412979,9.521767322,9.951963503
十六夜咲夜,4.365808824,6.238609428,5.390275277,4.71364258,4.134720518,4.515966167,4.268245138,4.396719602,4.724369446,5.125498173,5.73480356,5.383982001,5.473810234,5.333705195,5.371943445,6.239417347,7.148762622,7.878329002,7.768074477,7.934989311,8.24052704
蕾米莉亚·斯卡蕾特,1.286764706,1.791941006,2.602521225,2.783679052,4.041643423,4.110335486,4.258147264,4.198909694,4.489108431,4.460270212,4.894936479,4.80095933,4.978774752,5.149897006,5.722447275,6.589803575,6.768304261,7.417755043,7.415435857,7.576631409,8.171453747
魂魄妖梦,,2.809586516,5.563159249,3.548381582,2.843439697,2.723876519,2.846338248,3.155856838,3.847338268,4.291114749,5.001527925,5.106201272,5.614588015,5.666193787,6.087642884,7.818936217,9.244495728,8.75604811,8.108919162,7.939386341,7.670880427
古明地觉,,,,,,2.984876588,3.452841808,3.709239156,3.788796573,4.279720858,4.708401449,4.658372264,4.525377768,4.387705714,4.517721533,4.838666961,4.500544017,4.342881005,5.088492724,5.452866174,5.619070751
藤原妹红,,,1.880113198,1.484898564,3.33504407,3.459497733,3.433908295,3.245660109,3.353290137,3.447966794,4.860937483,3.978707248,4.162527995,4.202263674,4.011904628,4.494636945,4.703264794,4.987455975,5.15866663,5.15386817,5.26995935
琪露诺,2.34375,0.718988675,0.722408027,1.335194894,2.720210867,2.164471912,2.046712847,1.939265229,1.971815574,1.758165071,1.905781539,1.729528303,1.77062758,2.033327038,2.375870279,2.399470316,3.01654227,3.34287551,3.526975893,4.484420433,5.17924864
射命丸文,,,,3.584795988,4.947506415,3.107064519,2.572433415,3.410097179,3.83858437,4.06498983,4.26365783,4.02676437,4.280173277,4.066654076,4.131537672,4.202251159,4.139358407,3.775449316,3.79116001,3.976563529,4.216383584
西行寺幽幽子,,1.559652357,4.636995112,4.418281286,3.897439473,3.302398966,3.328511734,3.211680493,3.333593866,3.258652908,3.261146905,2.941518366,3.046219678,2.975241893,3.213301588,3.607945266,4.250712073,3.97716471,4.259968877,4.382189498,3.99959331
东风谷早苗,,,,,2.798867567,4.417883338,4.557296783,3.923432093,3.764176235,4.008020373,3.819833104,3.268412418,3.365448166,3.517680284,3.451518263,3.763672478,3.755331019,3.534305134,3.853667859,3.716589161,3.922197934
爱丽丝·玛格特洛依德,1.240808824,2.035291019,2.343195266,3.718315478,3.37437242,3.378870323,3.936908646,3.867001659,5.069054188,4.717947446,4.543919821,4.137137322,4.33767406,4.205531375,4.101104704,3.773206798,4.003021546,3.948021692,3.994605367,4.076595949,3.882668037
铃仙·优昙华院·因幡,,,4.575250836,3.605026214,1.951997099,1.733904919,1.66804257,1.911353401,1.806585745,2.056159151,2.95791262,2.84170742,3.198233244,3.035694365,2.882736597,3.382299713,3.746765352,3.757163501,3.652581288,3.567639788,3.582240825
八云紫,,1.205688702,2.222793928,3.621210394,3.784698204,3.716341751,3.325356149,3.143114482,3.171646749,3.087744539,2.908292464,2.644197928,2.841992756,3.63613445,3.463061803,3.232928713,3.262805187,3.052588201,3.273996014,3.295573589,3.069184379
红美铃,0.413602941,1.814063735,1.642397736,1.808582175,1.993947339,2.007373144,2.196287606,2.093387059,2.25084608,2.142928015,2.321120621,2.263437651,2.29870949,2.33967402,2.482910371,2.393908629,2.314157605,2.600014286,2.556335144,2.914131283,3.043802025
帕秋莉·诺蕾姬,2.113970588,2.156966026,1.583740674,3.006211534,3.24327792,2.86767592,2.687927849,2.60793553,2.613585737,2.663541202,2.594031477,2.373810603,2.429573342,2.468748216,2.532232767,2.806267932,2.946589326,2.968016308,2.98445494,3.055385855,3.002607712
露米娅,0.229779412,0.398209112,0.76562902,0.813255072,0.866534642,1.132108581,1.337968312,1.439886229,1.534667782,1.729242116,2.105181054,2.221189632,2.358853988,2.303729308,2.324449058,2.42648422,2.659639494,3.024588047,2.908973764,2.83168698,2.938527669
秦心,,,,,,,,,,3.184154388,3.272173606,2.979013484,2.953689681,2.978509594,2.859649519,2.954844405,3.114333631,2.837729878,2.747986568,2.877306161,2.799964979
比那名居天子,,,,,,2.163640702,2.244883625,2.394956151,2.603190483,3.039539614,3.359468325,3.041857413,2.999293751,3.815858013,3.427381772,2.991392629,3.339896186,2.971444898,3.030451282,2.861916558,2.776247042
多多良小伞,,,,,,,2.086473226,1.553960654,1.589926764,1.880868515,2.420360932,2.310966673,2.688657333,2.544722267,2.655014049,2.541690576,2.725309604,2.340012857,2.596434519,2.641515455,2.600234976
洩矢诹访子,,,,,2.604847707,2.236787218,2.600202568,2.291196966,2.018867777,1.933455706,1.964590612,1.780225927,1.859192005,1.946732958,2.041107638,2.489251821,2.576124244,2.864587168,2.800469573,2.700875353,2.4729071
四季映姬·夜摩仙那度,,,,0.910360155,2.079158764,1.828662906,1.823297383,1.50845224,1.662693543,1.779199947,2.025237469,2.011533834,2.097787211,2.189359768,2.408402072,2.572677113,2.523302633,2.524013868,2.249692866,2.281508667,2.298559451
蓬莱山辉夜,,,0.919989709,0.92249829,1.759288185,1.475398481,1.60429974,1.564275895,1.646279984,1.823022606,1.781731149,1.494523694,1.641085585,1.68123224,1.681159093,1.627190466,1.728123246,1.538294166,1.749040378,1.934143339,2.089675156
纯狐,,,,,,,,,,,,1.824586348,2.060114284,2.093779509,2.203766602,2.184948135,2.175679328,2.012582487,2.053913566,2.04242019,2.068869948
风见幽香,0.229779412,0.07742955,0.111139696,1.120754502,1.988703559,3.328997699,3.637759127,4.363953543,3.987947758,3.405020588,2.816403287,2.49632986,2.409745486,2.309447785,2.224754855,2.145221805,2.383396744,2.318869884,2.248513473,2.356807797,2.063460593
八意永琳,,,1.194751737,1.565819467,1.701606605,1.314143661,1.113921731,1.019388481,0.943779652,0.993021448,0.950134094,0.889320813,0.994697465,0.952534884,1.064104445,1.069432796,1.230600775,1.149149171,1.078555243,1.70384892,2.034333301
伊吹萃香,,,,1.707431046,1.906114024,2.031478246,1.789217058,1.68381133,1.529196595,1.506623009,1.376499877,1.455444276,1.382001594,1.500691751,1.528994256,1.954535423,1.915854106,1.900581871,2.035043272,2.041870561,1.96942105
犬走椛,,,,,1.111681357,1.509478108,1.426955827,1.579445366,2.091634556,2.228820426,2.411172014,2.371170101,2.758715759,2.582300831,2.512293926,2.442374752,2.247773689,2.359441535,2.073963253,2.030877987,1.922817383
八云蓝,,2.610481959,2.497555956,1.517266925,2.777892447,2.015685248,1.717269706,1.825190804,1.806038627,1.908038564,1.931510508,1.729528303,1.820197221,1.685316866,1.621342571,1.751136614,1.651746052,1.835438656,2.396527342,1.997900266,1.799650548
灵乌路空,,,,,,1.593430359,2.749777328,2.873704669,2.708237262,2.543467116,2.226474768,1.895879881,1.843990649,1.768643245,1.771408583,1.702670492,1.624621441,1.758295375,1.864620929,1.903364133,1.795489506
赫卡提亚·拉碧斯拉祖利,,,,,,,,,,,,1.289620799,1.476514376,1.45412701,1.694801458,1.536614434,1.760958301,1.957153611,1.668841628,1.655481596,1.69312788
依神紫苑,,,,,,,,,,,,,,3.304462784,2.713781158,1.964864268,1.992231301,1.949724998,1.872286986,1.853347923,1.691463463
鬼人正邪,,,,,,,,,,0.970233666,2.116207755,2.009949534,2.0118665,2.087244107,1.910980467,1.848068859,2.090022662,1.877153171,1.741374321,1.744521443,1.678980338
丰聪耳神子,,,,,,,,,1.237035242,1.696813349,1.953563911,1.715797697,1.50229059,1.664893734,1.607700206,2.044316928,2.270615467,2.085725746,1.920642114,1.816522801,1.644443691
水桥帕露西,,,,,,1.142914316,1.534245739,1.565489452,1.472296257,1.942220238,2.116207755,1.878980673,2.005918143,1.833180343,1.748321504,1.819465902,1.55895133,1.747438173,1.677097382,1.728032583,1.591598461
宇佐见莲子,,,0.117314124,0.364144062,0.660716278,0.66579954,0.833074609,0.994510548,1.073446769,1.655620049,2.367984101,1.993050326,2.142069424,2.187725917,2.32130082,2.181770029,1.634614718,1.492008198,1.54205684,1.769804363,1.535424398
键山雏,,,,,1.431551936,1.616704251,1.730523166,1.88526191,1.795643372,1.494352665,1.310339669,1.187697452,1.366139309,1.262966493,1.319111723,1.279187817,1.302695136,1.458293727,1.390504791,1.52466997,1.517531919
物部布都,,,,,,,,,2.450544383,1.715218865,2.180530179,1.815608643,1.73427651,1.695936895,1.598255492,1.701875966,1.843759746,1.754866785,1.62933195,1.630748306,1.485908001
稀神探女,,,,,,,,,,,,2.99168789,2.428251485,2.105216463,1.947709911,1.682807327,1.815207523,1.867438832,1.72191433,1.501035936,1.48174696
饭纲丸龙,,,,,,,,,,,,,,,,,0.977913609,0.920005055,0.851522018,0.923376189,1.44887473
摩多罗隐岐奈,,,,,,,,,,,,,,1.416548447,1.384175308,1.535025381,1.40476933,1.424579256,1.431783559,1.396056857,1.427237313
河城荷取,,,,,1.224422626,1.758841231,1.981707783,2.481725527,2.277107775,2.016718758,2.055560898,1.788675531,1.862496648,1.739233935,1.667516729,1.834561907,1.692432968,1.775438327,1.550902291,1.565892121,1.357331812
茨木华扇,,,,,,,,0.560056886,1.926404727,1.790593838,1.959996153,1.668268675,1.547233731,1.365899079,1.338001151,1.818671375,1.563234163,1.636008989,1.451833247,1.389461313,1.259547331
火焰猫燐,,,,,,1.245984407,0.961191386,1.226300071,1.234846768,1.432124489,1.2846107,1.18505695,1.241884742,1.198429395,1.322259961,1.375325535,1.213469441,1.17200644,1.54205684,1.252054142,1.228339518
米斯蒂娅·萝蕾拉,,,0.370465655,1.197629359,1.068420172,1.104678637,1.140428651,1.111618867,1.180134904,1.124489425,1.139425799,1.086302205,1.220735028,1.063636723,1.091389174,0.911322004,0.791610359,0.800575827,0.885134729,1.043195242,1.209198726
