角色名,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21
古明地恋,,,,,,0.186168043,0.439883549,0.583602749,0.61348413,0.923880869,1,0.917516366,0.925734292,0.92990254,0.894844337,0.924744688,0.874664754,0.785465854,0.862262142,0.84921431,1
雾雨魔理沙,0.825367647,0.85146168,1,1,0.945233181,0.914015901,0.92389949,0.86,0.860531643,0.959683154,0.918843692,0.951792885,0.959687135,0.96234238,0.961143521,0.889171566,0.955123807,0.95405744,1,0.944381123,0.94786836
博丽灵梦,0.650735294,0.711351067,0.546385387,0.925860497,1,1,1,1,1,1,0.958014125,1,1,1,1,0.960510423,0.914180475,0.908513234,0.951917879,1,0.895990902
芙兰朵露·斯卡蕾特,0.279411765,0.105346326,0.177360432,0.355026214,0.598585853,0.605744588,0.704077322,0.738160702,0.829158297,0.858224052,0.846892329,0.851556958,0.828857273,0.838973485,0.832601754,0.854557493,0.837647352,1,0.906879795,0.893093422,0.844386453
十六夜咲夜,1,1,0.789760741,0.854912241,0.838670088,0.955830402,0.889462889,0.961246741,0.926342199,0.89045989,0.880234211,0.88341484,0.860136189,0.867649319,0.803139211,0.78717923,0.801835797,0.823342436,0.786090256,0.77141019,0.799354944
蕾米莉亚·斯卡蕾特,0.220588235,0.293652884,0.423565732,0.429336677,0.7946837,0.831702981,0.855041557,0.892803982,0.892596703,0.798300012,0.785908901,0.790581691,0.797880497,0.810438197,0.863367599,0.820461066,0.767133066,0.749339282,0.750126949,0.734843419,0.762067492
魂魄妖梦,,0.565709771,0.882480062,0.521654889,0.529259177,0.523431668,0.623111102,0.632813463,0.77009684,0.770247998,0.814987552,0.8207959,0.892219549,0.898112727,0.9275736,1,1,0.865438821,0.823631549,0.807997224,0.725092588
古明地觉,,,,,,0.577621969,0.759615629,0.767139132,0.715197393,0.743259855,0.729188704,0.762173648,0.769430355,0.782750579,0.774257794,0.755667021,0.711445837,0.689698844,0.691913511,0.699928067,0.690382722
藤原妹红,,,0.262464626,0.235582403,0.634065045,0.759233747,0.731770131,0.683261436,0.661247587,0.665569722,0.757449968,0.686302205,0.694326212,0.736550379,0.705707451,0.731229309,0.73427722,0.713676998,0.715796227,0.674799651,0.664957062
琪露诺,0.536764706,0.080853305,0.06411114,0.214668338,0.439682584,0.45574959,0.423174214,0.426575018,0.417455429,0.360613627,0.294462074,0.3328094,0.354212381,0.419952302,0.498104287,0.490411509,0.545849879,0.577511415,0.577837233,0.651049107,0.641111092
射命丸文,,,,0.572144974,0.891303135,0.634513703,0.513271273,0.709902821,0.742615852,0.716343371,0.675396139,0.710129213,0.718784345,0.713957564,0.749968969,0.708529123,0.668964012,0.630717751,0.612298998,0.591402997,0.617675578
西行寺幽幽子,,0.17118778,0.69992282,0.788522909,0.751687493,0.665091472,0.676771327,0.657904717,0.637295514,0.622469173,0.58984304,0.590091089,0.633033587,0.583016738,0.628536126,0.649240585,0.689598536,0.668819609,0.668355674,0.630383575,0.598596919
