角色名,vote_01,vote_02,vote_03,vote_04,vote_05,vote_06,vote_07,vote_08,vote_09,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21
十六夜咲夜,95.0,564.0,1746.0,1165.0,3154.0,5433.0,6763.0,7246.0,8635.0,5848.0,6241.0,10195.0,8282.0,6529.0,5119.0,7853.0,10015.0,13787.0,13173.0,14437.0,19804.0
雾雨魔理沙,95.0,532.0,2284.0,1301.0,3867.0,5380.0,6766.0,6750.0,8028.0,6495.0,7227.0,10969.0,8990.0,7386.0,5950.0,8626.0,11816.0,16578.0,17612.0,20249.0,27553.0
博丽灵梦,62.0,293.0,1391.0,1245.0,3927.0,5739.0,7731.0,8175.0,9583.0,7314.0,7332.0,15427.0,10674.0,8574.0,6887.0,8913.0,11404.0,15679.0,16497.0,21959.0,27408.0
琪露诺,51.0,65.0,234.0,330.0,2075.0,2604.0,3243.0,3196.0,3604.0,2006.0,2074.0,3275.0,2679.0,2489.0,2264.0,3020.0,4226.0,5850.0,5981.0,8159.0,12447.0
帕秋莉·诺蕾姬,46.0,195.0,513.0,743.0,2474.0,3450.0,4259.0,4298.0,4777.0,3039.0,2823.0,4495.0,3676.0,3022.0,2413.0,3532.0,4128.0,5194.0,5061.0,5559.0,7216.0
橙,43.0,142.0,302.0,157.0,920.0,1399.0,1684.0,1545.0,1637.0,944.0,1077.0,1862.0,1492.0,1207.0,909.0,1290.0,1264.0,1780.0,1946.0,1924.0,2726.0
芙兰朵露·斯卡蕾特,32.0,93.0,486.0,465.0,2497.0,3654.0,5365.0,5961.0,7824.0,5488.0,5972.0,9844.0,8202.0,6497.0,5222.0,8497.0,10335.0,16723.0,16343.0,17324.0,23917.0
蕾米莉亚·斯卡蕾特,28.0,162.0,843.0,688.0,3083.0,4945.0,6747.0,6920.0,8205.0,5089.0,5327.0,9091.0,7533.0,6304.0,5453.0,8294.0,9482.0,12981.0,12575.0,13785.0,19638.0
爱丽丝·玛格特洛依德,27.0,184.0,759.0,919.0,2574.0,4065.0,6238.0,6373.0,9265.0,5383.0,4945.0,7834.0,6563.0,5148.0,3908.0,4749.0,5608.0,6909.0,6774.0,7417.0,9331.0
魅魔,14.0,19.0,68.0,44.0,525.0,820.0,1011.0,953.0,893.0,571.0,535.0,810.0,735.0,622.0,488.0,795.0,958.0,1266.0,1355.0,1667.0,2860.0
