名次,角色名,票数,本命数,本命加权
1,博丽灵梦,1728,491,2219
2,西行寺幽幽子,1385,306,1691
2,芙兰朵露·斯卡蕾特,1385,374,1759
4,蕾米莉亚·斯卡蕾特,1323,290,1613
5,十六夜咲夜,1138,252,1390
6,雾雨魔理沙,1111,274,1385
7,八云紫,1099,257,1356
8,爱丽丝·玛格特洛依德,1028,264,1292
9,帕秋莉·诺蕾姬,929,206,1135
10,藤原妹红,915,237,1152
11,琪露诺,892,200,1092
12,魂魄妖梦,885,187,1072
13,东风谷早苗,756,153,909
14,射命丸文,681,142,823
15,古明地觉,664,148,812
16,伊吹萃香,646,109,755
17,风见幽香,560,104,664
18,铃仙·优昙华院·因幡,544,83,627
19,古明地恋,519,68,587
20,比那名居天子,496,73,569
21,蓬莱山辉夜,474,97,571
22,键山雏,438,79,517
23,红美铃,427,76,503
24,洩矢诹访子,361,61,422
25,四季映姬·亚玛萨那度,340,36,376
26,上白泽慧音,309,35,344
27,灵乌路空,301,68,369
28,露米娅,267,39,306
29,圣白莲,241,37,278
30,八云蓝,240,42,282
31,多多良小伞,193,19,212
32,封兽鵺,175,28,203
33,小野塚小町,173,20,193
34,霍青娥,170,11,181
35,犬走椛,159,27,186
35,八意永琳,159,19,178
37,物部布都,147,23,170
38,茨木华扇,143,14,157
39,火焰猫燐,131,9,140
39,橙,131,11,142
41,宇佐见莲子,128,18,146
42,稗田阿求,126,20,146
42,丰聪耳神子,126,17,143
44,水桥帕露西,124,17,141
45,森近霖之助,119,22,141
46,河城荷取,116,17,133
47,永江衣玖,111,16,127
48,星熊勇仪,108,12,120
49,神绮,102,11,113
50,八坂神奈子,100,9,109
51,因幡帝,99,11,110
52,姬海棠羽立,97,8,105
53,玛艾露贝莉·赫恩,92,12,104
54,小恶魔,89,13,102
55,人形（含上海人形、哥利亚人形）,83,8,91
56,米斯蒂娅·萝蕾拉,82,16,98
57,毛玉,71,8,79
58,魅魔,70,10,80
58,大妖精,70,8,78
60,冈崎梦美,61,8,69
61,冴月麟,60,6,66
62,苏我屠自古,59,7,66
63,村纱水蜜,55,11,66
64,宫古芳香,53,7,60
65,梅蒂欣·梅兰可莉,49,7,56
66,莉莉白,44,11,55
67,寅丸星,40,3,43
68,娜兹玲,39,6,45
69,二岩猯藏,37,4,41
69,魂魄妖忌,37,4,41
71,幽谷响子,36,3,39
72,秋静叶,30,1,31
72,露娜萨·普莉兹姆利巴,30,5,35
74,斯塔萨菲雅,28,6,34
74,秋穰子,28,2,30
74,莉莉卡·普莉兹姆利巴,28,3,31
77,蕾迪·霍瓦特洛克,27,3,30
78,桑尼米尔克,22,2,24
78,幻月,22,2,24
78,黑谷山女,22,0,22
78,莉格露·奈特巴格,22,1,23
82,绵月依姬,21,0,21
82,露娜切尔德,21,2,23
84,无名的读书妖怪（朱鹭子）,20,0,20
84,大鲶鱼,20,0,20
86,绵月丰姬,18,3,21
86,琪斯美,18,3,21
86,梅露兰·普莉兹姆利巴,18,1,19
89,非想天则,17,1,18
89,云居一轮,17,2,19
91,阴阳玉,15,0,15
92,卡娜·安娜贝拉尔,14,1,15
92,蕾拉·普莉兹姆利巴,14,0,14
94,北白河千百合,13,1,14
95,UFO,10,2,12
95,舞,10,0,10
97,艾丽,9,0,9
97,矜羯罗,9,0,9
97,命莲,9,0,9
100,妖精（含持花妖精，僵尸妖精）,8,1,9
100,明罗,8,3,11
102,雪,7,0,7
102,梦月,7,1,8
102,玄爷,7,1,8
102,神玉,7,0,7
106,梦子,6,4,10
106,爱莲,6,1,7
108,求闻史纪中的受访人群（如蟒蛇六介、彦佐卫门、花店老板、开朗的地缚灵、某位母亲等）,5,0,5
108,龙神,5,0,5
108,胡桃,5,1,6
111,朝仓理香子,4,0,4
111,萨丽爱尔,4,0,4
111,菊理,4,1,5
111,云山,4,0,4
115,幽灵,3,1,4
115,Reisen,3,1,4
115,里香,3,0,3
115,依莉斯,3,1,4
119,石长姬,2,0,2
119,小兔姬,2,1,3
121,运松翁,1,0,1
121,天照大御神 / 石凝姥命 / 天宇受卖命 / 伊豆能卖,1,0,1
121,木花咲耶姬,1,0,1
121,月夜见,1,0,1
121,露易兹,1,0,1
121,萨拉,1,0,1
121,奥莲姬,1,0,1
121,Flower～战车,1,1,2
121,幽玄魔眼,1,0,1
130,水鬼鬼神长,0,0,0
130,久米 / 竿打,0,0,0
130,野槌,0,0,0
130,瑞江浦岛子,0,0,0
130,岩笠,0,0,0
130,玛○奇,0,0,0
130,留琴,0,0,0
130,咪咪号,0,0,0
130,邪眼西格玛,0,0,0
