名次,角色名,票数,本命票数,本命率,本命加权
1,博丽灵梦,9732,1426,0.1465,11158
2,雾雨魔理沙,8678,1250,0.144,9928
3,古明地恋,7141,1560,0.2185,8701
4,芙兰朵露·斯卡蕾特,5490,760,0.1384,6250
5,十六夜咲夜,5443,926,0.1701,6369
6,蕾米莉亚·斯卡蕾特,5042,536,0.1063,5578
7,古明地觉,4618,644,0.1395,5262
8,魂魄妖梦,4310,665,0.1543,4975
9,东风谷早苗,4046,564,0.1394,4610
10,琪露诺,3942,584,0.1481,4526
11,西行寺幽幽子,3717,604,0.1625,4321
12,射命丸文,3668,556,0.1516,4224
13,爱丽丝·玛格特洛依德,3616,470,0.13,4086
14,八云紫,3441,397,0.1154,3838
15,铃仙·优昙华院·因幡,3433,421,0.1226,3854
16,藤原妹红,3346,476,0.1423,3822
17,比那名居天子,3318,544,0.164,3862
18,帕秋莉·诺蕾姬,2961,323,0.1091,3284
19,秦心,2789,289,0.1036,3078
20,纯狐,2547,267,0.1048,2814
21,蓬莱山辉夜,2240,255,0.1138,2495
22,依神紫苑,2145,253,0.1179,2398
23,红美铃,2027,223,0.11,2250
24,伊吹萃香,1969,240,0.1219,2209
25,四季映姬·夜摩仙那度,1910,253,0.1325,2163
26,风见幽香,1907,282,0.1479,2189
27,多多良小伞,1888,224,0.1186,2112
28,键山雏,1658,230,0.1387,1888
28,宇佐见莲子,1658,143,0.0862,1801
30,摩多罗隐岐奈,1596,194,0.1216,1790
31,洩矢诹访子,1541,171,0.111,1712
32,鬼人正邪,1409,218,0.1547,1627
33,露米娅,1374,117,0.0852,1491
34,稀神探女,1348,146,0.1083,1494
35,丰聪耳神子,1284,194,0.1511,1478
36,玛艾露贝莉·赫恩,1258,61,0.0485,1319
37,米斯蒂娅·萝蕾拉,1184,96,0.0811,1280
38,茨木华扇,1076,109,0.1013,1185
39,灵乌路空,1035,138,0.1333,1173
39,埴安神袿姬,1035,82,0.0792,1117
41,天弓千亦,1020,94,0.0922,1114
41,本居小铃,1020,70,0.0686,1090
43,稗田阿求,1013,80,0.079,1093
44,上白泽慧音,921,75,0.0814,996
45,圣白莲,919,78,0.0849,997
46,水桥帕露西,916,114,0.1245,1030
47,火焰猫燐,886,75,0.0847,961
48,八云蓝,880,71,0.0807,951
49,八意永琳,841,66,0.0785,907
50,大妖精,807,33,0.0409,840
51,犬走椛,793,94,0.1185,887
52,吉吊八千慧,771,52,0.0674,823
53,莉莉霍瓦特,757,91,0.1202,848
54,哆来咪·苏伊特,753,86,0.1142,839
55,少名针妙丸,735,64,0.0871,799
56,赫卡提亚·拉碧斯拉祖利,731,34,0.0465,765
57,河城荷取,660,73,0.1106,733
58,小恶魔,657,49,0.0746,706
59,魅魔,643,35,0.0544,678
60,封兽鵺,637,71,0.1115,708
61,霍青娥,603,48,0.0796,651
62,森近霖之助,593,59,0.0995,652
63,因幡天为（因幡帝）,591,34,0.0575,625
64,克劳恩皮丝,582,38,0.0653,620
65,豪德寺三花,568,16,0.0282,584
66,宇佐见堇子,562,56,0.0996,618
67,赤蛮奇,547,74,0.1353,621
68,橙,545,30,0.055,575
69,神绮,540,25,0.0463,565
70,八坂神奈子,530,36,0.0679,566
71,菅牧典,524,18,0.0344,542
72,物部布都,502,48,0.0956,550
73,永江衣玖,488,59,0.1209,547
74,姬虫百百世,470,31,0.066,501
74,奥野田美宵,470,8,0.017,478
76,堀川雷鼓,461,41,0.0889,502
76,饕餮尤魔,461,12,0.026,473
78,饭纲丸龙,459,8,0.0174,467
79,冈崎梦美,449,31,0.069,480
80,庭渡久侘歌,443,23,0.0519,466
81,冴月麟,422,55,0.1303,477
82,村纱水蜜,417,50,0.1199,467
83,露娜切露德,401,19,0.0474,420
84,斯塔萨菲雅,382,15,0.0393,397
85,姬海棠果,338,26,0.0769,364
86,依神女苑,335,16,0.0478,351
87,戎璎花,327,11,0.0336,338
88,小野塚小町,316,16,0.0506,332
89,秋穰子,310,22,0.071,332
90,二岩猯藏,306,35,0.1144,341
91,今泉影狼,290,23,0.0793,313
92,娜兹玲,286,27,0.0944,313
93,桑尼米尔克,275,17,0.0618,292
94,幽谷响子,267,15,0.0562,282
95,秋静叶,264,14,0.053,278
