名次,角色名,票数,本命数,本命率,本命加权
1,博丽灵梦,4825,658,13.64%,5483
2,雾雨魔理沙,4671,677,14.49%,5348
3,古明地恋,4137,991,23.95%,5128
4,芙兰朵露·斯卡蕾特,3140,449,14.30%,3589
5,古明地觉,2825,461,16.32%,3286
6,蕾米莉亚·斯卡蕾特,2760,320,11.59%,3080
7,十六夜咲夜,2569,412,16.04%,2981
8,琪露诺,2343,413,17.63%,2756
9,东风谷早苗,2114,309,14.62%,2423
10,魂魄妖梦,1999,281,14.06%,2280
11,射命丸文,1976,324,16.40%,2300
12,西行寺幽幽子,1901,305,16.04%,2206
13,比那名居天子,1804,325,18.02%,2129
14,爱丽丝·玛格特洛依德,1796,224,12.47%,2020
15,藤原妹红,1789,268,14.98%,2057
16,铃仙·优昙华院·因幡,1689,205,12.14%,1894
17,八云紫,1620,188,11.60%,1808
18,帕秋莉·诺蕾姬,1609,192,11.93%,1801
19,秦心,1354,167,12.33%,1521
20,蓬莱山辉夜,1182,146,12.35%,1328
21,纯狐,1178,121,10.27%,1299
22,多多良小伞,1078,114,10.58%,1192
23,宇佐见莲子,1070,76,7.10%,1146
24,四季映姬·夜摩仙那度,1034,124,11.99%,1158
25,依神紫苑,1003,120,11.96%,1123
26,伊吹萃香,994,136,13.68%,1130
27,稗田阿求,987,68,6.89%,1055
28,风见幽香,969,122,12.59%,1091
29,洩矢诹访子,947,111,11.72%,1058
30,摩多罗隐岐奈,862,126,14.62%,988
31,红美铃,832,93,11.18%,925
32,米斯蒂娅·萝蕾拉,801,49,6.12%,850
33,键山雏,792,124,15.66%,916
34,玛艾露贝莉·赫恩,773,51,6.60%,824
35,露米娅,762,84,11.02%,846
36,鬼人正邪,761,129,16.95%,890
37,莉莉霍瓦特,693,74,10.68%,767
38,稀神探女,689,87,12.63%,776
38,火焰猫燐,689,51,7.40%,740
40,丰聪耳神子,654,94,14.37%,748
41,水桥帕露西,587,77,13.12%,664
42,上白泽慧音,584,50,8.56%,634
43,灵乌路空,583,62,10.63%,645
44,八云蓝,580,42,7.24%,622
45,本居小铃,564,45,7.98%,609
46,天弓千亦,549,65,11.84%,614
47,大妖精,504,26,5.16%,530
48,饕餮尤魔,500,35,7.00%,535
49,茨木华扇,498,46,9.24%,544
50,犬走椛,478,51,10.67%,529
51,埴安神袿姬,470,56,11.91%,526
52,八意永琳,454,37,8.15%,491
53,圣白莲,441,35,7.94%,476
54,哆来咪·苏伊特,426,44,10.33%,470
55,吉吊八千慧,417,20,4.80%,437
56,赫卡提亚·拉碧斯拉祖利,407,29,7.13%,436
57,魅魔,382,15,3.93%,397
58,少名针妙丸,376,43,11.44%,419
59,赤蛮奇,368,45,12.23%,413
59,河城荷取,368,45,12.23%,413
61,霍青娥,355,24,6.76%,379
62,露娜切露德,354,23,6.50%,377
63,神绮,351,20,5.70%,371
64,豫母都日狭美,337,10,2.97%,347
65,封兽鵺,317,30,9.46%,347
66,宇佐见堇子,316,28,8.86%,344
67,森近霖之助,313,43,13.74%,356
67,菅牧典,313,18,5.75%,331
69,物部布都,310,25,8.06%,335
70,橙,309,15,4.85%,324
71,日白残无,303,10,3.30%,313
72,奥野田美宵,302,7,2.32%,309
73,小恶魔,297,17,5.72%,314
74,克劳恩皮丝,292,11,3.77%,303
75,因幡天为（因幡帝）,281,18,6.41%,299
75,斯塔萨菲雅,281,14,4.98%,295
77,冴月麟,274,33,12.04%,307
78,饭纲丸龙,273,19,6.96%,292
79,堀川雷鼓,272,24,8.82%,296
80,永江衣玖,264,30,11.36%,294
81,冈崎梦美,246,25,10.16%,271
82,庭渡久侘歌,235,18,7.66%,253
83,姬海棠果,234,16,6.84%,250
84,八坂神奈子,231,16,6.93%,247
85,桑尼米尔克,227,10,4.41%,237
86,二岩猯藏,218,20,9.17%,238
87,村纱水蜜,216,18,8.33%,234
88,秋穰子,215,12,5.58%,227
89,娜兹玲,203,23,11.33%,226
90,小野塚小町,192,11,5.73%,203
91,爱塔妮缇拉尔瓦,185,13,7.03%,198
