名次,角色名,票数,本命数,本命率,本命加权,票数占比,本命占比,男性数,男性比例,女性数,女性比例
1,博丽灵梦,2271,422,0.1858,2693,0.3354,0.0641,1865,0.8212,406,0.1788
2,雾雨魔理沙,1851,320,0.1729,2171,0.2734,0.0486,1490,0.805,359,0.1939
3,古明地恋,1844,449,0.2435,2293,0.2723,0.0682,1563,0.8476,280,0.1518
4,蕾米莉亚·斯卡蕾特,1372,231,0.1684,1603,0.2026,0.0351,1154,0.8411,218,0.1589
5,古明地觉,1349,237,0.1757,1586,0.1992,0.036,1151,0.8532,198,0.1468
6,八云紫,1290,216,0.1674,1506,0.1905,0.0328,1048,0.8124,242,0.1876
7,十六夜咲夜,1264,202,0.1598,1466,0.1867,0.0307,1036,0.8196,227,0.1796
8,西行寺幽幽子,1217,309,0.2539,1526,0.1797,0.0469,1014,0.8332,203,0.1668
9,藤原妹红,1207,222,0.1839,1429,0.1783,0.0337,924,0.7655,283,0.2345
10,射命丸文,1155,261,0.226,1416,0.1706,0.0397,1006,0.871,149,0.129
11,爱丽丝·玛格特洛依德,1120,223,0.1991,1343,0.1654,0.0339,931,0.8313,189,0.1688
12,芙兰朵露·斯卡蕾特,1087,217,0.1996,1304,0.1605,0.033,873,0.8031,212,0.195
13,东风谷早苗,1085,198,0.1825,1283,0.1602,0.0301,935,0.8618,150,0.1382
14,魂魄妖梦,1059,187,0.1766,1246,0.1564,0.0284,934,0.882,125,0.118
15,铃仙·优昙华院·因幡,908,139,0.1531,1047,0.1341,0.0211,787,0.8667,120,0.1322
16,比那名居天子,887,153,0.1725,1040,0.131,0.0232,811,0.9143,76,0.0857
17,琪露诺,863,138,0.1599,1001,0.1275,0.021,771,0.8934,92,0.1066
18,秦心,847,92,0.1086,939,0.1251,0.014,754,0.8902,93,0.1098
19,蓬莱山辉夜,794,145,0.1826,939,0.1173,0.022,613,0.772,181,0.228
20,帕秋莉·诺蕾姬,757,124,0.1638,881,0.1118,0.0188,653,0.8626,104,0.1374
21,四季映姬·亚玛萨那度,644,103,0.1599,747,0.0951,0.0156,517,0.8028,126,0.1957
22,宇佐见莲子,597,55,0.0921,652,0.0882,0.0084,470,0.7873,127,0.2127
23,依神紫苑,596,24,0.0403,620,0.088,0.0036,493,0.8272,103,0.1728
24,鬼人正邪,580,112,0.1931,692,0.0857,0.017,438,0.7552,142,0.2448
25,纯狐,579,71,0.1226,650,0.0855,0.0108,434,0.7496,145,0.2504
26,风见幽香,575,105,0.1826,680,0.0849,0.016,471,0.8191,104,0.1809
26,伊吹萃香,575,84,0.1461,659,0.0849,0.0128,513,0.8922,62,0.1078
28,稀神探女,567,56,0.0988,623,0.0837,0.0085,435,0.7672,132,0.2328
29,玛艾露贝莉·赫恩（梅莉）,520,36,0.0692,556,0.0768,0.0055,408,0.7846,112,0.2154
30,洩矢诹访子,504,49,0.0972,553,0.0744,0.0074,417,0.8274,87,0.1726
30,摩多罗隐岐奈,504,36,0.0714,540,0.0744,0.0055,386,0.7659,118,0.2341
32,红美铃,480,52,0.1083,532,0.0709,0.0079,371,0.7729,109,0.2271
33,丰聪耳神子,439,74,0.1686,513,0.0648,0.0112,291,0.6629,148,0.3371
34,键山雏,433,77,0.1778,510,0.0639,0.0117,379,0.8753,54,0.1247
35,圣白莲,430,46,0.107,476,0.0635,0.007,340,0.7907,90,0.2093
36,哆来咪·苏伊特,415,45,0.1084,460,0.0613,0.0068,301,0.7253,114,0.2747
37,少名针妙丸,399,35,0.0877,434,0.0589,0.0053,315,0.7895,83,0.208
38,多多良小伞,349,38,0.1089,387,0.0515,0.0058,316,0.9054,33,0.0946
39,克劳恩皮丝,344,21,0.061,365,0.0508,0.0032,300,0.8721,44,0.1279
40,宇佐见堇子,337,19,0.0564,356,0.0498,0.0029,251,0.7448,86,0.2552
41,灵乌路空,334,50,0.1497,384,0.0493,0.0076,288,0.8623,46,0.1377
42,上白泽慧音,323,33,0.1022,356,0.0477,0.005,235,0.7276,88,0.2724
43,露米娅,314,32,0.1019,346,0.0464,0.0049,282,0.8981,32,0.1019
44,稗田阿求,306,24,0.0784,330,0.0452,0.0036,246,0.8039,60,0.1961
45,八意永琳,303,43,0.1419,346,0.0447,0.0065,215,0.7096,88,0.2904
