角色名,票数
古明地恋,27688
雾雨魔理沙,27553
博丽灵梦,27408
芙兰朵露·斯卡蕾特,23917
十六夜咲夜,19804
蕾米莉亚·斯卡蕾特,19638
魂魄妖梦,18435
古明地觉,13504
藤原妹红,12665
琪露诺,12447
射命丸文,10133
西行寺幽幽子,9612
东风谷早苗,9426
爱丽丝·玛格特洛依德,9331
铃仙·优昙华院·因幡,8609
八云紫,7376
红美铃,7315
帕秋莉·诺蕾姬,7216
露米娅,7062
秦心,6729
比那名居天子,6672
多多良小伞,6249
洩矢诹访子,5943
四季映姬·夜摩仙那度,5524
蓬莱山辉夜,5022
纯狐,4972
风见幽香,4959
八意永琳,4889
伊吹萃香,4733
犬走椛,4621
八云蓝,4325
灵乌路空,4315
赫卡提亚·拉碧斯拉祖利,4069
依神紫苑,4065
鬼人正邪,4035
丰聪耳神子,3952
水桥帕露西,3825
宇佐见莲子,3690
键山雏,3647
物部布都,3571
稀神探女,3561
饭纲丸龙,3482
摩多罗隐岐奈,3430
河城荷取,3262
茨木华扇,3027
火焰猫燐,2952
米斯蒂娅·萝蕾拉,2906
饕餮尤魔,2886
魅魔,2860
圣白莲,2733
橙,2726
上白泽慧音,2688
大妖精,2633
封兽鵺,2581
玛艾露贝莉·赫恩,2511
天弓千亦,2468
小恶魔,2289
娜兹玲,2156
哆来咪·苏伊特,2094
道神驯子,2076
神绮,2055
埴安神袿姬,1916
莉格露·奈特巴格,1906
因幡天为（因幡帝）,1871
赤蛮奇,1860
菅牧典,1848
村纱水蜜,1832
霍青娥,1820
八坂神奈子,1734
克劳恩皮丝,1724
莉莉霍瓦特（莉莉白）,1692
本居小铃,1657
绵月丰姬,1629
依神女苑,1575
小野塚小町,1555
永江衣玖,1554
姬海棠果,1527
二岩猯藏,1513
稗田阿求,1499
幻月,1481
吉吊八千慧,1478
森近霖之助,1436
今泉影狼,1394
星熊勇仪,1360
宇佐见堇子,1346
庭渡久侘歌,1324
少名针妙丸,1287
苏我屠自古,1285
奥野田美宵,1229
冈崎梦美,1221
宫出口瑞灵,1207
堀川雷鼓,1199
梅蒂欣·梅兰可莉,1132
绵月依姬,1128
高丽野阿吽,1104
豫母都日狭美,1096
露娜切露德,1046
宫古芳香,1039
若鹭姬,1032
蕾蒂·霍瓦特洛克,983
妖精（女仆妖精、向日葵妖精等）,971
姬虫百百世,970
露娜萨·普莉兹姆利巴,969
日白残无,969
先代巫女,945
秋穰子,944
秋静叶,937
梦月,912
寅丸星,879
幽谷响子,864
天火人血枪,858
骊驹早鬼,849
黑谷山女,822
斯塔萨菲雅,816
蓬莱人形封面的少女（夹克子）,772
桑尼米尔克,753
清兰,706
云居一轮,704
C62社团Cut的少女（冴月麟）,695
杖刀偶磨弓,671
豪德寺三花,660
卡娜·安娜贝拉尔,648
丁礼田舞,647
九十九弁弁,642
梅露兰·普莉兹姆利巴,634
爱丽丝的人偶（上海、蓬莱、大江户等）,591
爱塔妮缇拉尔瓦,586
三头慧之子,561
尔子田里乃,534
胡桃,520
影华扇（断善修恶的怪臂 - 茨木童子之臂）,518
莉莉卡·普莉兹姆利巴,513
封兽魑魅,511
无名的读书妖怪（朱鹭子）,503
梦子,482
孙美天,461
铃瑚,442
Reisen（铃仙二号）,424
北白河千百合,418
易者,415
坂田合欢,405
萨丽爱尔,403
矢田寺成美,380
九十九八桥,379
戎璎花,362
山城高岭,361
爱莲,350
玉造魅须丸,329
艾丽,326
依莉斯,318
琪斯美,313
驹草山如,278
舞,277
矜羯罗,272
魂魄妖忌,264
雪,256
留琴,248
蓬莱人形碟面的少女（Label子）,241
牛崎润美,240
小兔姬,224
奥莲姬,222
明罗,217
尘塚姥芽,200
里香,192
朝仓理香子,178
抗抑郁药大叔（长相酷似周杰伦的村民）,172
幽幻魔眼,170
云山,166
玄爷,162
神玉,154
蕾拉·普莉兹姆利巴,144
飞碟（红、蓝、绿、其他）,144
毛玉,127
大鲶鱼,119
水獭灵,119
露易兹,108
旧作的无名道中Boss,89
萨拉,87
野槌,85
核热造神非想天则,79
菊理,77
鲵吞亭的常客,74
咪咪号,73
兔子（玉兔、永远亭的妖怪兔等）,72
乌鸦（地狱鸦、紫和文的使魔等）,69
嫦娥,65
蛞蝓（蛞蝓卫门）,62
卓柏卡布拉,60
华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,55
岩笠,53
狐（妖怪狐、年幼的妖狐等）,48
地精,44
村里的人类（在文花帖、求闻史记、铃奈庵等登场的人类）,44
野狼灵,43
龙（子龙、邪龙等）,38
河童（含山童）,36
万岁乐,35
天狗（香霖堂的天狗、大天狗等）,30
命莲,29
袈裟罗婆娑罗,28
都市传说的怪异（阿菊、八尺大人等）,27
仙台四郎（福神）,26
降神的神灵（天照、伊豆能卖等）,26
幽灵（包括怨灵、神灵、旧作的一种杂鱼）,23
大鹫灵,22
鲵吞亭店主,22
木花咲耶姬,20
盐家老板,20
毘沙门天,19
酒虫,19
月之都的门卫,19
莱卡,18
水江浦岛子（瑞江浦岛子）,17
蟒蛇,16
沓颊,14
狸（妖怪狸、野铁炮等）,13
座敷童子,11
运松翁,10
睡鼠,10
小铃的父母,10
烟烟罗,3
